aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,unix,temperature,humidity,wind_speed,hour,weekday,month,city_encoded
3,-0.07627798173064436,1.9767269336786195,0.20401345824923142,0.08982503389783998,1.8011376616501384,18.54,1.4028977336938027,0.3857769360590082,2025-05-09 07:00:00+00:00,1746774000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,7,4,5,3
3,-0.058633176462479675,1.842645896612579,-0.038231171731588263,0.46814646976122026,2.1537538446638935,18.99,1.3486167199945882,0.2751181433038293,2025-05-09 08:00:00+00:00,1746777600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,8,4,5,3
3,0.011178879163735656,1.753258538568552,-0.12674363268611852,0.7612829465560241,2.6611771324153954,20.26,1.3446690099073728,0.254733628848928,2025-05-09 09:00:00+00:00,1746781200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,9,4,5,3
3,-0.32100375914561974,0.23367345182009386,-0.47613492592768536,1.3971636116032145,1.8269388457730962,13.98,0.35083299545084906,-0.3276810698625395,2025-05-09 10:00:00+00:00,1746784800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,10,4,5,3
3,-0.5227682715598468,-0.12387598035601396,-0.5553302857291071,1.417207131384056,1.2163108215297642,11.07,-0.0459118683143172,-0.44707608309839025,2025-05-09 11:00:00+00:00,1746788400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,11,4,5,3
3,-0.5925803271860622,-0.2579570174220544,-0.5227204316932277,1.400671227564862,1.0787045062073228,10.39,-0.12535953381953083,-0.4587243770726196,2025-05-09 12:00:00+00:00,1746792000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,12,4,5,3
3,-0.5081921280774504,-0.2579570174220544,-0.36432971209038395,1.4242223633073505,1.1131060850379333,10.29,-0.13572227279847177,-0.45290023008550495,2025-05-09 13:00:00+00:00,1746795600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,13,4,5,3
3,-0.36396502414636794,-0.0791823013340005,-0.10810943037990159,1.4322397712196868,1.3109151633139422,10.38,-0.13966998288568727,-0.44416400960483293,2025-05-09 14:00:00+00:00,1746799200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,14,4,5,3
3,-0.23201256735835615,0.010205056710026465,0.16208650306024347,1.4121962514388453,1.5087242415899513,10.51,-0.11450333107968802,-0.44125193611127567,2025-05-09 15:00:00+00:00,1746802800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,15,4,5,3
2,0.24900016756073448,0.3230608098641208,1.2847971920098116,0.7938536661998915,1.594728188666477,11.32,-0.1071013746661587,0.08000921923548772,2025-05-09 16:00:00+00:00,1746806400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,16,4,5,3
2,0.014247540949503855,-0.30265069644406783,0.28320881805065323,0.8133960979862118,0.9324977961772294,11.92,0.353300314255359,-0.004440912077675064,2025-05-07 17:00:00+00:00,1746637200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,17,2,5,3
2,0.13162385425511916,-0.4814254125321218,0.35308707669896655,0.6565555557011281,1.0701041114996706,12.34,0.39968590778014207,0.20522837945845326,2025-05-07 18:00:00+00:00,1746640800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,18,2,5,3
